                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0707,                0.57512,                0.87531,                0.94175,                 0.9317,                0.97505,                0.71197,                  1.061,                0.57072,                0.83924,              0.0078963,              0.0078963,              0.0078963
                     37,                 1.0728,                0.57452,                0.87404,                0.91857,                0.94957,                0.97726,                0.72431,                 1.0108,                0.54844,                0.83776,              0.0078344,              0.0078344,              0.0078344
                     38,                 1.0667,                 0.5706,                0.87693,                0.94767,                0.92378,                0.97734,                0.71477,                  1.046,                0.55611,                0.84012,              0.0077725,              0.0077725,              0.0077725
                     39,                 1.0587,                 0.5672,                0.87036,                0.93383,                 0.9441,                0.97889,                0.72439,                 1.0178,                0.54664,                0.83849,              0.0077106,              0.0077106,              0.0077106
                     40,                 1.0592,                0.56529,                0.87247,                0.93432,                0.94164,                0.97895,                0.70575,                 1.1069,                0.55945,                0.84289,              0.0076488,              0.0076488,              0.0076488
                     41,                 1.0626,                0.56557,                0.87396,                0.93912,                0.94102,                0.97724,                0.71897,                 1.0354,                0.55113,                 0.8356,              0.0075869,              0.0075869,              0.0075869
                     42,                  1.048,                0.56316,                0.87193,                 0.9507,                 0.9538,                0.98359,                0.73055,                 1.0278,                0.54005,                0.83746,               0.007525,               0.007525,               0.007525
                     43,                 1.0554,                0.56124,                0.87149,                0.93947,                0.93924,                0.97948,                0.70794,                 1.1035,                0.55775,                0.84357,              0.0074631,              0.0074631,              0.0074631
                     44,                 1.0429,                0.55267,                0.86884,                0.93557,                0.94682,                0.97598,                0.72832,                 1.0133,                0.53978,                0.83309,              0.0074013,              0.0074013,              0.0074013
                     45,                 1.0489,                 0.5538,                0.87139,                0.95433,                 0.9514,                0.98515,                0.73876,                0.99778,                0.52596,                0.83518,              0.0073394,              0.0073394,              0.0073394
                     46,                 1.0355,                0.54986,                 0.8681,                0.94138,                0.93539,                 0.9802,                0.72257,                 1.0495,                0.53582,                0.83918,              0.0072775,              0.0072775,              0.0072775
                     47,                 1.0434,                 0.5509,                0.86815,                 0.9419,                  0.954,                0.98173,                0.74231,                0.98891,                0.51952,                0.83299,              0.0072156,              0.0072156,              0.0072156
                     48,                 1.0479,                0.55043,                 0.8693,                0.93603,                0.94384,                0.98101,                 0.7398,                 1.0116,                0.52714,                 0.8339,              0.0071538,              0.0071538,              0.0071538
                     49,                 1.0423,                 0.5508,                0.86793,                0.93602,                0.94669,                0.97949,                0.71844,                 1.0909,                0.54698,                0.84007,              0.0070919,              0.0070919,              0.0070919
                     50,                 1.0296,                0.54259,                0.86704,                0.94815,                0.95579,                 0.9842,                 0.7481,                0.97474,                0.52105,                0.83066,                0.00703,                0.00703,                0.00703
                     51,                 1.0315,                0.54204,                0.86659,                0.93705,                0.95697,                0.98336,                0.74398,                0.98164,                0.51681,                0.83099,              0.0069681,              0.0069681,              0.0069681
                     52,                 1.0206,                0.53574,                0.86475,                0.94072,                0.94705,                0.98248,                0.74709,                 0.9849,                0.51727,                0.83028,              0.0069063,              0.0069063,              0.0069063
                     53,                 1.0275,                0.54061,                0.86808,                0.94558,                 0.9574,                0.98458,                0.74713,                 1.0026,                0.51887,                 0.8316,              0.0068444,              0.0068444,              0.0068444
                     54,                 1.0219,                0.53596,                0.86572,                0.93271,                0.96267,                0.98072,                0.73998,                 1.0005,                0.51922,                 0.8337,              0.0067825,              0.0067825,              0.0067825
                     55,                 1.0198,                 0.5363,                0.86513,                0.93626,                0.95648,                0.98295,                0.74156,                0.98336,                0.51379,                0.83014,              0.0067206,              0.0067206,              0.0067206
                     56,                 1.0246,                0.53432,                0.86455,                0.94708,                0.94672,                0.98137,                0.73849,                  1.012,                0.52308,                0.83122,              0.0066587,              0.0066587,              0.0066587
                     57,                 1.0185,                0.53398,                0.86479,                0.95207,                0.95321,                0.98483,                0.74375,                 1.0013,                0.51542,                0.83023,              0.0065969,              0.0065969,              0.0065969
                     58,                 1.0101,                 0.5305,                0.86508,                0.95739,                0.95875,                0.98578,                0.73901,                 1.0034,                0.51024,                0.83193,               0.006535,               0.006535,               0.006535
                     59,                 1.0114,                 0.5309,                0.86342,                0.94269,                0.96214,                0.98531,                0.74736,                0.97633,                0.50979,                0.82798,              0.0064731,              0.0064731,              0.0064731
                     60,                 1.0115,                0.52911,                0.86162,                0.95939,                0.94674,                0.98389,                0.74291,                 1.0022,                0.51717,                0.83018,              0.0064112,              0.0064112,              0.0064112
                     61,                 1.0069,                0.52799,                 0.8639,                0.95615,                0.95233,                0.98627,                0.74249,                  1.018,                0.51519,                0.83196,              0.0063494,              0.0063494,              0.0063494
                     62,                 1.0059,                0.52594,                0.86044,                 0.9425,                0.95157,                0.98241,                0.74623,                0.99062,                0.50771,                0.82983,              0.0062875,              0.0062875,              0.0062875
                     63,                 1.0021,                0.52344,                0.86341,                0.94986,                0.96226,                0.98566,                0.75593,                0.96545,                0.50278,                0.82883,              0.0062256,              0.0062256,              0.0062256
                     64,                 1.0047,                0.52157,                0.86294,                0.93912,                0.96238,                0.98433,                0.75032,                0.97335,                0.50328,                0.82796,              0.0061637,              0.0061637,              0.0061637
                     65,                 1.0011,                0.51872,                0.86114,                0.95001,                0.95622,                0.98467,                 0.7416,                   1.02,                0.50693,                0.83223,              0.0061019,              0.0061019,              0.0061019
                     66,                0.99781,                0.52023,                0.86141,                0.94827,                0.94783,                0.98228,                 0.7542,                0.96367,                0.49399,                0.82833,                0.00604,                0.00604,                0.00604
                     67,                0.99315,                0.51431,                0.85808,                0.94738,                0.94224,                0.97983,                0.74435,                0.98489,                0.50453,                0.82892,              0.0059781,              0.0059781,              0.0059781
                     68,                0.99908,                0.51733,                0.85933,                 0.9692,                0.94149,                 0.9856,                0.75357,                0.96445,                0.49596,                0.82717,              0.0059163,              0.0059163,              0.0059163
                     69,                0.99141,                0.51275,                0.86018,                0.95439,                0.95732,                0.98512,                0.75552,                0.96817,                0.49989,                0.82872,              0.0058544,              0.0058544,              0.0058544
                     70,                0.99172,                 0.5127,                0.85884,                0.94734,                0.95194,                0.98401,                0.74498,                 1.0136,                0.50744,                0.83261,              0.0057925,              0.0057925,              0.0057925
                     71,                0.99452,                0.51587,                0.85682,                 0.9504,                0.94731,                0.98472,                0.74837,                0.98157,                0.49913,                0.82856,              0.0057306,              0.0057306,              0.0057306
                     72,                0.98445,                 0.5093,                0.85642,                0.95446,                0.96137,                 0.9878,                0.75844,                0.97685,                0.49497,                0.82755,              0.0056688,              0.0056688,              0.0056688
                     73,                0.98747,                0.50932,                0.85755,                0.96533,                0.95434,                0.98613,                0.76276,                0.95506,                0.48753,                0.82576,              0.0056069,              0.0056069,              0.0056069
                     74,                0.98573,                0.50684,                 0.8599,                0.97226,                0.95095,                0.98695,                 0.7533,                0.98944,                0.49393,                0.82987,               0.005545,               0.005545,               0.005545
                     75,                0.98176,                 0.5078,                0.85868,                 0.9565,                0.96157,                 0.9874,                0.75956,                0.96002,                0.48689,                0.82597,              0.0054831,              0.0054831,              0.0054831
                     76,                 0.9721,                0.50222,                0.85773,                0.94286,                0.96327,                0.98583,                 0.7553,                0.97789,                0.49098,                0.82745,              0.0054212,              0.0054212,              0.0054212
                     77,                0.97415,                0.50676,                0.85674,                0.95808,                0.95703,                0.98657,                 0.7571,                0.97321,                0.48636,                0.82706,              0.0053594,              0.0053594,              0.0053594
                     78,                0.97419,                0.49978,                0.85729,                0.96867,                0.95143,                0.98678,                0.76197,                 0.9643,                0.48552,                0.82661,              0.0052975,              0.0052975,              0.0052975
